step,tokens_seen,loss,lm_loss,kd_loss,transition_loss,lr,grad_norm,seconds,peak_gpu_gb
1,16384,3.1905587017536163,3.1905587017536163,,,0.0006666666666666666,0.11041009426116943,6.57,11.54938793182373
10,163840,2.772851738333702,2.772851738333702,,,0.0009644883599083958,0.2535860538482666,39.136,11.558658123016357
20,327680,2.964798775315285,2.964798775315285,,,0.0008025871075968827,0.1571589857339859,75.347,11.558658123016357
30,491520,2.9609332352876665,2.9609332352876665,,,0.0005540595092119709,0.11814606934785843,111.664,11.558658123016357
40,655360,2.8927150845527647,2.8927150845527647,,,0.0002900554492198677,0.1072801798582077,147.841,11.558658123016357
50,819200,2.919684720039368,2.919684720039368,,,8.615550092155477e-05,0.12526437640190125,184.196,11.558658123016357
60,983040,2.8920819044113157,2.8920819044113157,,,7.332930744380905e-07,0.10802598297595978,220.476,11.558658123016357
