seqlen,transition,degree,ct_ct_depth,z_min,z_max,rel_state_error_final,rel_state_error_overall,max_rel_state_error_over_t,mean_abs_transition_error,max_abs_transition_error,max_state_norm,final_state_norm_mean,a_min,a_max,frac_a_lt_0,frac_a_gt_1,has_nan,has_inf
16,exact,,,-1.4111440181732178,-0.0004544745897874236,0.0,0.0,0.0,0.0,0.0,0.557247519493103,0.38258272409439087,0.24386413395404816,0.9995456337928772,0.0,0.0,False,False
16,P2,2,1,-1.4111440181732178,-0.0004544745897874236,0.3044061064720154,0.29590487480163574,0.714150071144104,0.18418356776237488,0.27779293060302734,0.5478780269622803,0.3203486204147339,0.3900875151157379,0.7217527031898499,0.0,0.0,False,False
16,P3,3,2,-1.4111440181732178,-0.0004544745897874236,0.15351200103759766,0.15061794221401215,0.3908907175064087,0.0697779655456543,0.10390537977218628,0.551421582698822,0.3586985468864441,0.31080737709999084,0.8956402540206909,0.0,0.0,False,False
16,P4,4,2,-1.4111440181732178,-0.0004544745897874236,0.06181113421916962,0.0594659186899662,0.15088263154029846,0.02347872219979763,0.033641159534454346,0.5550190210342407,0.3751787543296814,0.25292637944221497,0.9659044742584229,0.0,0.0,False,False
64,exact,,,-1.5761282444000244,-0.00035790179390460253,0.0,0.0,0.0,0.0,0.0,0.8095427751541138,0.33299678564071655,0.20677413046360016,0.9996421337127686,0.0,0.0,False,False
64,P2,2,1,-1.5761282444000244,-0.00035790179390460253,0.9007022380828857,0.6853728294372559,0.967034637928009,0.18053551018238068,0.27786362171173096,0.7562655210494995,0.07678951323032379,0.35724586248397827,0.7217785120010376,0.0,0.0,False,False
64,P3,3,2,-1.5761282444000244,-0.00035790179390460253,0.7758976817131042,0.5360764265060425,0.8568899035453796,0.06689611077308655,0.10394859313964844,0.7620025873184204,0.12540340423583984,0.26506268978118896,0.8956935405731201,0.0,0.0,False,False
64,P4,4,2,-1.5761282444000244,-0.00035790179390460253,0.49120980501174927,0.30168285965919495,0.5279667377471924,0.02287323586642742,0.033662259578704834,0.7761420607566833,0.1953948438167572,0.20945914089679718,0.9659798741340637,0.0,0.0,False,False
256,exact,,,-2.092733860015869,-6.264705734793097e-05,0.0,0.0,0.0,0.0,0.0,3.215663194656372,0.6918293237686157,0.12334945797920227,0.9999373555183411,0.0,0.0,False,False
256,P2,2,1,-2.092733860015869,-6.264705734793097e-05,0.8974502086639404,0.7746840119361877,0.9925227165222168,0.1801660656929016,0.2780798673629761,3.1746788024902344,0.12483465671539307,0.2624664902687073,0.721857488155365,0.0,0.0,False,False
256,P3,3,2,-2.092733860015869,-6.264705734793097e-05,0.7338625192642212,0.647261381149292,0.9212181568145752,0.0661482959985733,0.10408079624176025,3.1697120666503906,0.24492040276527405,0.1477307677268982,0.8958565592765808,0.0,0.0,False,False
256,P4,4,2,-2.092733860015869,-6.264705734793097e-05,0.4601060152053833,0.42246773838996887,0.7085219621658325,0.022703414782881737,0.033727049827575684,3.171482801437378,0.4116615951061249,0.11024120450019836,0.9662103056907654,0.0,0.0,False,False
1024,exact,,,-4.125150203704834,-1.2566927580337506e-05,0.0,0.0,0.0,0.0,0.0,6.8296661376953125,0.48841995000839233,0.01616106741130352,0.9999874234199524,0.0,0.0,False,False
1024,P2,2,1,-4.125150203704834,-1.2566927580337506e-05,0.7826869487762451,0.7803236246109009,1.0009740591049194,0.18115699291229248,0.27811652421951294,6.811890602111816,0.1901664435863495,0.008114337921142578,0.7218708992004395,0.0,0.0,False,False
1024,P3,3,2,-4.125150203704834,-1.2566927580337506e-05,0.6474838256835938,0.6542596817016602,0.9897322654724121,0.06643350422382355,0.1041032075881958,6.8163018226623535,0.2578010857105255,-0.02389708161354065,0.8958842158317566,0.0001220703125,0.0,False,False
1024,P4,4,2,-4.125150203704834,-1.2566927580337506e-05,0.4313604533672333,0.44269663095474243,0.9125866889953613,0.022628054022789,0.033738017082214355,6.819930076599121,0.3331780433654785,0.01854926347732544,0.966249406337738,0.0,0.0,False,False
