seq_len,n_blocks,exact_ppl,poly2_ppl,poly2_delta_ppl,poly3_ppl,poly3_delta_ppl,poly4_ppl,poly4_delta_ppl
1024,100,22.354801283783637,22.373644734195913,0.018843450412276752,22.35482793279931,2.6649015673285703e-05,22.355728688212835,0.0009274044291984751
2048,50,20.248413187419423,20.266360490373486,0.017947302954063105,20.24820560177376,-0.00020758564566492055,20.249185617816465,0.000772430397042001
4096,25,19.389199729275955,19.307144453997683,-0.08205527527827172,19.381947998109723,-0.007251731166231679,19.389375394398783,0.00017566512282840563
8192,12,22.361325910908647,21.458408461463165,-0.9029174494454821,22.273934941214034,-0.08739096969461357,22.349131095857718,-0.012194815050929009
