seqlen,transition,degree,ct_ct_depth,z_min,z_max,rel_state_error_final,rel_state_error_overall,max_rel_state_error_over_t,mean_abs_transition_error,max_abs_transition_error,max_state_norm,final_state_norm_mean,a_min,a_max,frac_a_lt_0,frac_a_gt_1,has_nan,has_inf
16,exact,,,-8.466864585876465,-0.0027268475387245417,0.0,0.0,0.0,0.0,0.0,3.330934524536133,1.7648875713348389,0.00021032331278547645,0.9972768425941467,0.0,0.0,False,False
16,P2,2,1,-8.466864585876465,-0.0027268475387245417,0.1433132439851761,0.19649188220500946,0.7375518083572388,0.14362603425979614,0.2761315703392029,3.3097217082977295,1.6928787231445312,-0.05872315168380737,0.7211452722549438,0.078125,0.0,False,False
16,P3,3,2,-8.466864585876465,-0.0027268475387245417,0.0740816593170166,0.09894102066755295,0.3377561867237091,0.052590154111385345,0.10289019346237183,3.3201448917388916,1.7446608543395996,-0.07816123962402344,0.8943866491317749,0.125,0.0,False,False
16,P4,4,2,-8.466864585876465,-0.0027268475387245417,0.02352156490087509,0.03115220181643963,0.09865973144769669,0.01643397845327854,0.05067392438650131,3.326075315475464,1.7628655433654785,-0.0032410621643066406,0.9641318917274475,0.0078125,0.0,False,False
64,exact,,,-9.456768989562988,-0.002147410763427615,0.0,0.0,0.0,0.0,0.0,4.528891563415527,0.4430173635482788,7.81587150413543e-05,0.9978548884391785,0.0,0.0,False,False
64,P2,2,1,-9.456768989562988,-0.002147410763427615,0.6879776120185852,0.384284108877182,0.867648720741272,0.14817818999290466,0.27655476331710815,4.5329484939575195,0.24672448635101318,-0.05947309732437134,0.7213001251220703,0.056640625,0.0,False,False
64,P3,3,2,-9.456768989562988,-0.002147410763427615,0.3808790445327759,0.20968309044837952,0.5209653973579407,0.05378677695989609,0.2830781638622284,4.52232027053833,0.3160208761692047,-0.28299999237060547,0.8947061896324158,0.10546875,0.0,False,False
64,P4,4,2,-9.456768989562988,-0.002147410763427615,0.1294386386871338,0.0725821927189827,0.21011219918727875,0.016904614865779877,0.26548102498054504,4.531683444976807,0.39674001932144165,-0.005805492401123047,0.9645836353302002,0.005859375,0.0,False,False
256,exact,,,-12.556403160095215,-0.0003758823440875858,0.0,0.0,0.0,0.0,0.0,18.896257400512695,1.6203066110610962,3.5222760743636172e-06,0.9996241927146912,0.0,0.0,False,False
256,P2,2,1,-12.556403160095215,-0.0003758823440875858,0.6654090285301208,0.36719849705696106,1.3532942533493042,0.14910763502120972,0.9713473916053772,19.420671463012695,0.41176384687423706,-0.05947309732437134,0.971350908279419,0.0556640625,0.0,False,False
256,P3,3,2,-12.556403160095215,-0.0003758823440875858,0.36057615280151367,0.1772710382938385,0.6620113849639893,0.05529029667377472,2.079732656478882,17.769838333129883,0.8793395161628723,-2.0797290802001953,0.8956836462020874,0.09716796875,0.0,False,False
256,P4,4,2,-12.556403160095215,-0.0003758823440875858,0.12562428414821625,0.07787179946899414,0.23846912384033203,0.019869297742843628,3.501312494277954,20.832700729370117,1.35288405418396,-0.009645938873291016,3.5013160705566406,0.0078125,0.0009765625,False,False
1024,exact,,,-24.75090217590332,-7.540156366303563e-05,0.0,0.0,0.0,0.0,0.0,40.918365478515625,1.0934779644012451,1.7816392458569474e-11,0.9999246001243591,0.0,0.0,False,False
1024,P2,2,1,-24.75090217590332,-7.540156366303563e-05,0.3154695928096771,0.39875224232673645,1.3532942533493042,0.14999912679195404,8.118955612182617,40.74927520751953,0.8884615898132324,-0.05947768688201904,8.118955612182617,0.058837890625,0.0006103515625,False,False
1024,P3,3,2,-24.75090217590332,-7.540156366303563e-05,0.14413443207740784,0.26936209201812744,0.8266461491584778,0.06445668637752533,45.84158706665039,41.284454345703125,1.0108656883239746,-45.84158706665039,0.8958495259284973,0.0987548828125,0.0,False,False
1024,P4,4,2,-24.75090217590332,-7.540156366303563e-05,0.042225077748298645,0.5850426554679871,2.242769956588745,0.05501691624522209,203.13021850585938,59.529300689697266,1.0750685930252075,-0.009673595428466797,203.13021850585938,0.01123046875,0.00146484375,False,False
