transition,degree,interval_mode,interval,pin_zero,fit_method,fhe_depth_estimate,validation_loss,perplexity,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,n_degenerate_heads,wall_seconds,peak_gpu_memory_gb,delta_perplexity,delta_loss
exact,,,,,,n/a (transcendental),3.107041225638441,22.35480363348052,0.0,1.0,0.0,0.0,0.0,-263700.125,,12.017805814743042,1.641364574432373,0.0,0.0
poly2,2,global,"[-8,0]",False,chebyshev,1,nan,inf,-0.059477806091308594,529297600.0,0.0007273356119791666,0.004099527994791667,0.7916666666666666,-152108.09375,,0.139007568359375,1.641364574432373,inf,nan
poly3,3,global,"[-8,0]",False,chebyshev,2,nan,inf,-23444143996928.0,0.8958911299705505,0.005362616644965278,0.0,0.7916666666666666,-153483.09375,,0.1390547752380371,1.641364574432373,inf,nan
poly4,4,global,"[-8,0]",False,chebyshev,2,nan,inf,-0.009674072265625,6.184697930658611e+17,0.00020853678385416666,0.004278394911024306,0.7916666666666666,-143853.875,,0.13911175727844238,1.641364574432373,inf,nan
poly2,2,global,"[-8,0]",True,chebyshev,1,nan,inf,-0.4802037477493286,1332370560.0,0.0018827650282118055,0.00434112548828125,0.7916666666666666,-130474.875,,0.13879036903381348,1.641364574432373,inf,nan
poly3,3,global,"[-8,0]",True,chebyshev,2,nan,inf,-41009840914432.0,1.0,0.005588107638888889,0.0,0.7916666666666666,-133128.21875,,0.13896512985229492,1.641364574432373,inf,nan
poly4,4,global,"[-8,0]",True,chebyshev,2,nan,inf,-0.07583045959472656,1.0655696351070781e+18,0.0003323025173611111,0.004284328884548611,0.7916666666666666,-134531.984375,,0.1391134262084961,1.641364574432373,inf,nan
poly2,2,per-head,per-head,True,chebyshev,1,3.1075281561201735,22.365691519389443,-0.1249997615814209,3.946242332458496,0.0004789394802517361,1.6954210069444444e-08,0.0,-263317.21875,0,7.097839117050171,1.6414103507995605,0.010887885908925199,0.0004869304817325393
poly3,3,per-head,per-head,True,chebyshev,2,3.106883376672471,22.351275229327307,-21.949066162109375,1.0,0.006068488226996528,0.0,0.0,-263719.875,0,7.105045318603516,1.6414103507995605,-0.0035284041532115396,-0.0001578489659701532
poly4,4,per-head,per-head,True,chebyshev,2,3.1070052799288246,22.35400008864266,-0.19417789578437805,115.62371826171875,0.00835055881076389,3.390842013888889e-08,0.0,-263731.75,0,7.115380525588989,1.6414103507995605,-0.000803544837857828,-3.5945709616402866e-05
