transition,degree,interval_mode,interval,pin_zero,fit_method,fhe_depth_estimate,validation_loss,perplexity,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,n_degenerate_heads,wall_seconds,peak_gpu_memory_gb,delta_perplexity,delta_loss
exact,,,,,,n/a (transcendental),2.551633040650965,12.828035390192504,0.0,1.0,0.0,0.0,0.0,-9374.8525390625,,36.25047469139099,4.0746750831604,0.0,0.0
poly2,2,global,"[-8,0]",False,chebyshev,1,nan,inf,-0.05947798490524292,963.795654296875,0.000564787122938368,0.0006478627522786459,0.8541666666666666,-211.09796142578125,,0.5950932502746582,4.0746750831604,inf,nan
poly3,3,global,"[-8,0]",False,chebyshev,2,nan,inf,-54903.4140625,0.8958911299705505,0.001556820339626736,0.0,0.8541666666666666,-209.2966766357422,,0.5946197509765625,4.0746750831604,inf,nan
poly4,4,global,"[-8,0]",False,chebyshev,2,nan,inf,-0.009673595428466797,2288936.25,0.0001316070556640625,0.0006821950276692709,0.8541666666666666,-204.83251953125,,0.5945684909820557,4.0746750831604,inf,nan
poly2,2,global,"[-8,0]",True,chebyshev,1,nan,inf,-0.48020386695861816,2799.741943359375,0.002522150675455729,0.0008004506429036459,0.8541666666666666,-193.4942626953125,,0.5940032005310059,4.0746750831604,inf,nan
poly3,3,global,"[-8,0]",True,chebyshev,2,nan,inf,-123898.046875,1.0,0.002468321058485243,0.0,0.8541666666666666,-196.9005889892578,,0.5944256782531738,4.0746750831604,inf,nan
poly4,4,global,"[-8,0]",True,chebyshev,2,nan,inf,-0.07583045959472656,6222945.5,0.0002589755588107639,0.000705718994140625,0.8541666666666666,-213.63787841796875,,0.5941421985626221,4.0746750831604,inf,nan
poly2,2,per-head,per-head,True,chebyshev,1,2.5528649365377567,12.843847931928144,-0.12500011920928955,6.787039756774902,0.0002565256754557292,1.6106499565972223e-07,0.0,-9265.43359375,0,30.428075313568115,4.074789524078369,0.01581254173563984,0.001231895886791623
poly3,3,per-head,per-head,True,chebyshev,2,2.551793984928672,12.830100155234378,-39.31098937988281,1.0,0.0016725370619032117,0.0,0.0,-9329.1865234375,0,30.614068746566772,4.074789524078369,0.0020647650418741392,0.0001609442777068537
poly4,4,per-head,per-head,True,chebyshev,2,2.552086352276546,12.833851805993087,-0.19417792558670044,248.57061767578125,0.0030613750881618926,2.1616617838541666e-07,0.0,-9362.654296875,0,30.755635738372803,4.074789524078369,0.005816415800582675,0.00045331162558071014
