transition,degree,interval_mode,interval,pin_zero,fit_method,fhe_depth_estimate,validation_loss,perplexity,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,n_degenerate_heads,wall_seconds,peak_gpu_memory_gb,delta_perplexity,delta_loss
exact,,,,,,n/a (transcendental),3.1648115375062096,23.684280013719203,0.0,1.0,0.0,0.0,0.0,-263700.25,,22.122171640396118,2.7917227745056152,0.0,0.0
poly2,2,global,"[-8,0]",False,chebyshev,1,nan,inf,-0.059477806091308594,529296384.0,0.0007091098361545139,0.004045698377821181,0.7916666666666666,-152107.921875,,0.26484179496765137,2.7917227745056152,inf,nan
poly3,3,global,"[-8,0]",False,chebyshev,2,nan,inf,-23444060110848.0,0.8958911299705505,0.005284203423394097,0.0,0.7916666666666666,-153482.90625,,0.261293888092041,2.7917227745056152,inf,nan
poly4,4,global,"[-8,0]",False,chebyshev,2,nan,inf,-0.009675264358520508,6.184680750789427e+17,0.00021277533637152778,0.004253387451171875,0.7916666666666666,-143853.78125,,0.2613198757171631,2.7917227745056152,inf,nan
poly2,2,global,"[-8,0]",True,chebyshev,1,nan,inf,-0.4802037477493286,1381863168.0,0.001933627658420139,0.004359775119357639,0.7916666666666666,-132876.03125,,0.260986328125,2.7917227745056152,inf,nan
poly3,3,global,"[-8,0]",True,chebyshev,2,nan,inf,-41010100961280.0,1.0,0.005608876546223958,0.0,0.7916666666666666,-133128.5,,0.2611672878265381,2.7917227745056152,inf,nan
poly4,4,global,"[-8,0]",True,chebyshev,2,nan,inf,-0.07583045959472656,1.0655696351070781e+18,0.0003407796223958333,0.004300435384114583,0.7916666666666666,-134531.984375,,0.2613410949707031,2.7917227745056152,inf,nan
poly2,2,per-head,per-head,True,chebyshev,1,3.166293020361351,23.719393872363373,-0.12499988079071045,1.1160545349121094,0.00043478515847350296,6.948446749772313e-09,0.0,-263166.8125,0,16.26099991798401,2.7917685508728027,0.03511385864416994,0.0014814828551412695
poly3,3,per-head,per-head,True,chebyshev,2,3.164796048623714,23.683913173530055,-4.039894104003906,1.0,0.006347593713979252,0.0,0.0,-263724.75,0,16.29965376853943,2.7917685508728027,-0.000366840189148121,-1.5488882495695577e-05
poly4,4,per-head,per-head,True,chebyshev,2,3.164825864429094,23.68461933900327,-0.19417782127857208,12.956336975097656,0.008441911151934626,6.948446749772313e-09,0.0,-263731.53125,0,16.299627780914307,2.7917685508728027,0.0003393252840666605,1.4326922884499993e-05
