step,tokens_seen,loss,lm_loss,kd_loss,transition_loss,lr,grad_norm,seconds,peak_gpu_gb
1,16384,3.1920177042484283,3.1920177042484283,,,0.0006666666666666666,7.436286926269531,7.113,11.558234214782715
10,163840,2.7711704164743423,2.7711704164743423,,,0.0009644883599083958,3.525585412979126,36.195,11.567527294158936
20,327680,2.964976021647453,2.964976021647453,,,0.0008025871075968827,2.186394453048706,68.661,11.567527294158936
30,491520,2.958083543181419,2.958083543181419,,,0.0005540595092119709,2.451173782348633,100.997,11.567527294158936
40,655360,2.8899584740400313,2.8899584740400313,,,0.0002900554492198677,1.949836254119873,133.322,11.567527294158936
50,819200,2.9173217326402665,2.9173217326402665,,,8.615550092155477e-05,1.6367368698120117,165.655,11.567527294158936
60,983040,2.889987361431122,2.889987361431122,,,7.332930744380905e-07,1.689012885093689,198.08,11.567527294158936
