transition,degree,interval_mode,interval,pin_zero,fit_method,fhe_depth_estimate,validation_loss,perplexity,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,n_degenerate_heads,wall_seconds,peak_gpu_memory_gb,delta_perplexity,delta_loss
exact,,,,,,n/a (transcendental),2.737351444128788,15.44602122253616,0.0,1.0,0.0,0.0,0.0,-6314.71484375,,23.67409372329712,2.5713162422180176,0.0,0.0
poly2,2,global,"[-8,0]",False,chebyshev,1,nan,inf,-0.05947786569595337,19021.275390625,0.0006561279296875,0.0013167063395182292,0.6875,-917.6578369140625,,0.3605027198791504,2.5713162422180176,inf,nan
poly3,3,global,"[-8,0]",False,chebyshev,2,nan,inf,-5494857.0,0.8958911299705505,0.002522150675455729,0.0,0.6875,-951.7554931640625,,0.3583793640136719,2.5713162422180176,inf,nan
poly4,4,global,"[-8,0]",False,chebyshev,2,nan,inf,-0.009674072265625,1178853504.0,0.0001637140909830729,0.0014349619547526042,0.6875,-955.7830200195312,,0.3586752414703369,2.5713162422180176,inf,nan
poly2,2,global,"[-8,0]",True,chebyshev,1,nan,inf,-0.48020386695861816,141141.953125,0.0042133331298828125,0.001556714375813802,0.6875,-1347.202392578125,,0.35801005363464355,2.5713162422180176,inf,nan
poly3,3,global,"[-8,0]",True,chebyshev,2,nan,inf,-28113976.0,0.9999998211860657,0.004391034444173177,0.0,0.6875,-1178.2578125,,0.35861778259277344,2.5713162422180176,inf,nan
poly4,4,global,"[-8,0]",True,chebyshev,2,nan,inf,-0.07582902908325195,8879207424.0,0.0003039042154947917,0.0015099843343098958,0.6875,-1289.8135986328125,,0.3586618900299072,2.5713162422180176,inf,nan
poly2,2,per-head,per-head,True,chebyshev,1,2.737708548119807,15.45153804334083,-0.125,13.317481994628906,0.0009377225240071614,1.2715657552083333e-07,0.0,-6305.900390625,0,18.28906226158142,2.5714077949523926,0.00551682080467053,0.00035710399101906987
poly3,3,per-head,per-head,True,chebyshev,2,2.7371409581576858,15.442770393898385,-87.48743438720703,1.0,0.008824984232584635,0.0,0.0,-6301.919921875,0,18.309548377990723,2.5714077949523926,-0.0032508286377748163,-0.00021048597110207012
poly4,4,per-head,per-head,True,chebyshev,2,2.7373086013868524,15.445359486810382,-0.19417770206928253,529.4158935546875,0.016078713734944662,1.8437703450520833e-07,0.0,-6308.1669921875,0,18.34273099899292,2.5714306831359863,-0.0006617357257781009,-4.2842741935444906e-05
