step,tokens_seen,loss,lm_loss,kd_loss,transition_loss,lr,grad_norm,seconds,peak_gpu_gb
1,16384,3.192017763853073,3.192017763853073,,,0.0006666666666666666,7.435619354248047,6.649,10.979779243469238
10,163840,2.8344887018203737,2.8344887018203737,,,0.0009644883599083958,3.6734578609466553,33.521,10.979871273040771
20,327680,3.1390174090862275,3.1390174090862275,,,0.0008025871075968827,2.5789413452148438,63.554,10.979871273040771
30,491520,3.178820851445198,3.178820851445198,,,0.0005540595092119709,2.497967481613159,93.448,10.979871273040771
40,655360,3.127687120437622,3.127687120437622,,,0.0002900554492198677,2.044515609741211,123.345,10.979871273040771
50,819200,3.1599133789539335,3.1599133789539335,,,8.615550092155477e-05,3.3147475719451904,153.254,10.979871273040771
60,983040,3.1400372833013535,3.1400372833013535,,,7.332930744380905e-07,2.917038917541504,183.124,10.979871273040771
